197,0.241384
198,0.241160
199,0.240939
200,0.240720
201,0.240504
202,0.240289
203,0.240076
204,0.239866
205,0.239658
206,0.239451
207,0.239247
208,0.239044
209,0.238844
210,0.238646
211,0.238449
212,0.238254
213,0.238061
214,0.237870
215,0.237681
216,0.237494
217,0.237308
218,0.237124
219,0.236942
220,0.236762
221,0.236583
222,0.236406
223,0.236231
224,0.236057
225,0.235885
226,0.235715
227,0.235546
228,0.235379
229,0.235213
230,0.235049
231,0.234886
232,0.234725
233,0.234565
234,0.234407
235,0.234250
236,0.234095
237,0.233941
238,0.233789
239,0.233638
240,0.233488
241,0.233340
242,0.233193
243,0.233048
244,0.232904
245,0.232761
246,0.232619
247,0.232479
248,0.232340
249,0.232202
250,0.232065
251,0.231930
252,0.231796
253,0.231663
254,0.231532
255,0.231401
256,0.231272
257,0.231143
258,0.231016
259,0.230891
260,0.230766
261,0.230642
262,0.230519
263,0.230398
264,0.230277
265,0.230158
266,0.230039
267,0.229922
268,0.229806
269,0.229690
270,0.229576
271,0.229463
272,0.229350
273,0.229239
274,0.229128
275,0.229019
276,0.228910
277,0.228802
278,0.228695
279,0.228589
280,0.228484
281,0.228380
282,0.228277
283,0.228174
284,0.228073
285,0.227972
286,0.227872
287,0.227773
288,0.227674
289,0.227577
290,0.227480
291,0.227384
292,0.227288
293,0.227194
294,0.227100
295,0.227007
296,0.226915
297,0.226823
298,0.226732
299,0.226642
300,0.226552
301,0.226463
302,0.226375
303,0.226288
304,0.226201
305,0.226115
306,0.226029
307,0.225944
308,0.225860
309,0.225776
310,0.225693
311,0.225611
312,0.225529
313,0.225448
314,0.225367
315,0.225287
316,0.225207
317,0.225128
318,0.225050
319,0.224972
320,0.224894
321,0.224817
322,0.224741
323,0.224665
324,0.224590
325,0.224515
326,0.224441
327,0.224367
328,0.224293
329,0.224220
330,0.224148
331,0.224076
332,0.224004
333,0.223933
334,0.223862
335,0.223792
336,0.223722
337,0.223653
338,0.223584
339,0.223515
340,0.223447
341,0.223379
342,0.223312
343,0.223245
344,0.223178
345,0.223112
346,0.223046
347,0.222980
348,0.222915
349,0.222850
350,0.222785
351,0.222721
352,0.222657
353,0.222593
354,0.222530
355,0.222467
356,0.222404
357,0.222342
358,0.222280
359,0.222218
360,0.222156
361,0.222095
362,0.222034
363,0.221974
364,0.221913
365,0.221853
366,0.221793
367,0.221733
368,0.221674
369,0.221614
370,0.221555
371,0.221497
372,0.221438
373,0.221380
374,0.221322
375,0.221264
376,0.221206
